sample_id,tic_id,label,n_sectors,flux_mean,flux_std,flux_median,flux_mad,flux_skew,flux_kurt,bls_period,bls_duration,bls_depth,bls_power,bls_snr,status,error
SAMPLE_006444,229285649,0,3,1.0015141,0.005490073,1.0,0.0033388734,-0.07627996,0.34375668,8.493496748374188,0.135,0.014649358757042256,0.08326624025310189,19.209717431642407,success,
SAMPLE_000234,293687315,1,7,1.0027795,0.010431507,0.9999999,0.0068793595,0.84245044,0.14698434,2.8719359679839918,0.19,0.006155551497576666,0.2901299646304605,8.544700172253444,success,
SAMPLE_006018,232967666,0,5,0.9860829,0.02187744,1.0,0.009812653,-0.34955075,-1.6598563,14.775137568784391,0.3,0.024924580988169392,0.26837340657227216,8.44947367989904,success,
SAMPLE_007107,124543547,0,1,0.99996847,0.0016472901,1.0,0.0010661483,-0.37181848,1.3962336,12.258129064532266,0.245,0.0030360178513524853,0.0016222631732966493,1.9149045420689923,success,
SAMPLE_003334,26469462,1,4,0.98960066,0.01862592,1.0,0.009375095,-0.71464115,-0.97845626,13.933716858429214,0.3,0.03336605230293805,0.24047138439699786,8.731056209635634,success,
SAMPLE_006115,328750515,0,5,1.0124568,0.022704052,1.0,0.013692558,0.3420725,-1.5360205,14.963731865932965,0.3,0.01459441987605606,0.13983259058197414,7.078633185964422,success,
SAMPLE_005022,184739529,1,1,0.99992883,0.005511367,1.0,0.003437221,-0.9201789,5.980797,9.356678339169585,0.05,0.028915076306040868,0.02800873486576956,5.455984036342245,success,
SAMPLE_000847,262471759,1,2,0.99994415,0.008523064,1.0,0.0061772466,-0.02721235,-0.3169906,14.920210105052526,0.3,0.008825552207601417,0.01682432030212522,4.346507920629421,success,
SAMPLE_006395,189620016,0,2,0.9994553,0.006637168,1.0,0.004620552,-0.24840216,-0.3081956,4.59104552276138,0.3,0.007504325800620791,0.07292780290981242,6.6905846341541375,success,
SAMPLE_006218,445137888,0,1,0.99999726,0.0012606167,1.0,0.00084906816,0.06332295,0.121106625,2.0160080040020008,0.08,0.0006187678065040912,0.00013170851783786424,12.13738204437828,success,
SAMPLE_006670,470911286,0,3,0.98826766,0.026968073,1.0,0.015171528,-0.44485623,-1.4590347,14.637318659329665,0.19,0.033208262466250464,0.15825017787992893,6.538654374561278,success,
SAMPLE_006905,412961700,0,3,0.99931234,0.006201157,1.0,0.006975293,0.0066702073,-1.5674798,14.70985492746373,0.3,0.007726948219291332,0.012896437417259649,4.739427804162166,success,
SAMPLE_003427,356472238,1,2,1.0000554,0.0016558392,1.0,0.0010131001,0.33461434,1.3230662,7.274887443721861,0.19,0.0005385840565746004,0.00041581933872577117,4.815149166713392,success,
SAMPLE_003439,318836983,1,5,1.0013632,0.014415283,1.0,0.00959307,0.7878159,-0.519027,13.404202101050524,0.3,0.013915806379738516,0.08365665622969636,5.131377712166292,success,
SAMPLE_000192,417676622,1,20,1.0052404,0.019720986,1.0,0.015120149,0.6243437,6.587801,14.165832916458228,0.3,0.012373383237915848,1.3300615732859267,9.439976417490431,success,
SAMPLE_007106,229384040,0,1,1.0000051,0.00073677115,1.0,0.00048798323,0.10868936,0.36393476,0.6450725362681341,0.3,0.00027219618642025526,0.0003032534966497823,18.565700528185527,success,
SAMPLE_006368,364075352,0,3,1.000034,0.0026310806,1.0,0.0019084215,0.021205379,-0.38666105,14.949224612306153,0.3,0.0024277122966376787,0.002546115981946182,8.058275222723081,success,
SAMPLE_006458,295354126,0,1,0.9999867,0.0005097941,1.0,0.00031122565,-0.29816478,1.1808252,2.2771385692846424,0.16,0.0008593537368378051,0.0005095573030617986,11.82870705140316,success,
SAMPLE_002228,384034837,1,2,1.0000353,0.009671652,1.0,0.0065580606,0.024047958,-0.0030589104,4.300900450225113,0.3,0.0035405944701886616,0.016177461775607548,8.19981746961146,success,
SAMPLE_006954,303364023,0,9,1.0049676,0.020259965,1.0,0.012458086,0.4769771,-0.4930699,14.303651825912956,0.3,0.009313251256028773,0.10915807271354422,5.869718211511002,success,
SAMPLE_005431,286864983,1,4,0.99889725,0.009106833,1.0,0.0072125196,-0.26360503,-0.9460137,14.731615807903951,0.3,0.013324332109311388,0.07669634090078582,5.737592687279769,success,
SAMPLE_004031,44514807,1,3,1.0061299,0.018615393,1.0,0.01362133,0.3223304,-1.250697,14.144072036018008,0.215,0.012559196239251839,0.049528290795275785,4.891695267220049,success,
SAMPLE_007116,93963408,0,1,1.0000018,0.0010287211,1.0,0.00068607926,0.104921386,0.31572914,2.4004502251125563,0.105,0.0004396878119570274,7.27870025518097e-05,11.565848431813551,success,
SAMPLE_006104,389182138,0,1,1.0000045,0.0016023493,1.0,0.0010506511,-0.015451171,0.22675991,7.78264132066033,0.3,0.0011442364231815999,0.00022257708866302162,3.1746716262480974,success,
SAMPLE_000444,198206613,1,42,0.9993643,0.01273863,1.0,0.009598732,-0.11252235,-0.52896595,13.585542771385692,0.3,0.005420981818348171,0.16095283930261614,11.197098865811963,success,
SAMPLE_006405,134315574,0,1,0.9999645,0.006585398,1.0,0.004490316,-0.0016290187,-0.014582157,1.5952976488244122,0.135,0.0037861278867517634,0.009761974539265613,13.550401666623817,success,
SAMPLE_006207,52041724,0,2,0.9894273,0.013200024,0.99999994,0.0051906705,-0.02314119,-1.9597301,14.368934467233617,0.3,0.013719419878223659,0.04018549986323217,2.7958872772632914,success,
SAMPLE_006642,400395395,0,2,0.9866364,0.023601089,1.0,0.016367078,-0.12848167,-1.7744073,15.0,0.19,0.024221600680095913,0.08066931668207813,4.05282541581441,success,
SAMPLE_000944,406318573,1,6,1.0021781,0.015766855,1.0,0.012760311,0.24753137,-0.9566941,14.115057528764382,0.3,0.01173513413078035,0.09867163180279631,6.003166363705804,success,
